Row Labels,Count of player_of_match,,AB de Villiers
AB de Villiers,23,,CH Gayle
CH Gayle,22,,RG Sharma
RG Sharma,18,,MS Dhoni
MS Dhoni,17,,DA Warner
DA Warner,17,,YK Pathan
YK Pathan,16,,SR Watson
SR Watson,16,,SK Raina
SK Raina,14,,G Gambhir
G Gambhir,13,,V Kohli
V Kohli,13,,
AM Rahane,12,,
MEK Hussey,12,,
KA Pollard,11,,
AD Russell,11,,
A Mishra,11,,
DR Smith,11,,
V Sehwag,11,,
AT Rayudu,10,,
JH Kallis,10,,
SP Narine,9,,
RA Jadeja,9,,
SE Marsh,9,,
SR Tendulkar,8,,
S Dhawan,8,,
UT Yadav,8,,
Harbhajan Singh,8,,
Rashid Khan,8,,
RV Uthappa,7,,
AC Gilchrist,7,,
SV Samson,7,,
KL Rahul,7,,
SL Malinga,6,,
Sandeep Sharma,6,,
JJ Bumrah,6,,
A Nehra,6,,
HH Pandya,6,,
M Vijay,6,,
JC Buttler,6,,
BJ Hodge,6,,
RR Pant,6,,
BB McCullum,5,,
MK Pandey,5,,
BA Stokes,5,,
AJ Finch,5,,
SPD Smith,5,,
KC Sangakkara,5,,
PA Patel,5,,
Yuvraj Singh,5,,
AR Patel,5,,
JP Faulkner,5,,
DPMD Jayawardene,5,,
GJ Maxwell,5,,
JD Unadkat,5,,
SA Yadav,5,,
SS Iyer,5,,
KD Karthik,5,,
SC Ganguly,5,,
B Kumar,5,,
DW Steyn,5,,
NM Coulter-Nile,4,,
CA Lynn,4,,
TA Boult,4,,
SK Warne,4,,
NA,4,,
F du Plessis,4,,
KH Pandya,4,,
MP Stoinis,4,,
JP Duminy,4,,
WP Saha,4,,
ML Hayden,4,,
N Rana,4,,
KS Williamson,4,,
Mandeep Singh,3,,
R Vinay Kumar,3,,
Q de Kock,3,,
DA Miller,3,,
M Vohra,3,,
KP Pietersen,3,,
KK Nair,3,,
A Symonds,3,,
R Ashwin,3,,
DJ Bravo,3,,
CJ Anderson,3,,
LMP Simmons,3,,
RD Gaikwad,3,,
YS Chahal,3,,
JM Bairstow,3,,
A Kumble,3,,
MK Tiwary,3,,
PP Chawla,3,,
L Balaji,3,,
LRPL Taylor,3,,
MJ McClenaghan,2,,
AS Rajpoot,2,,
ST Jayasuriya,2,,
P Negi,2,,
Shubman Gill,2,,
Harmeet Singh,2,,
AB Dinda,2,,
PC Valthaty,2,,
MV Boucher,2,,
DE Bollinger,2,,
MC Henriques,2,,
PP Shaw,2,,
SK Trivedi,2,,
PV Tambe,2,,
Sohail Tanvir,2,,
KM Jadhav,2,,
MM Patel,2,,
HM Amla,2,,
B Lee,2,,
R Dravid,2,,
VR Aaron,2,,
R Sharma,2,,
DJ Hussey,2,,
HV Patel,2,,
Shakib Al Hasan,2,,
I Sharma,2,,
BW Hilfenhaus,2,,
RA Tripathi,2,,
MG Johnson,2,,
LH Ferguson,2,,
SM Pollock,2,,
IK Pathan,2,,
Azhar Mahmood,2,,
Iqbal Abdulla,2,,
CH Morris,2,,
Ishan Kishan,2,,
MM Sharma,2,,
M Ntini,2,,
Mohammed Siraj,2,,
JA Morkel,2,,
GC Smith,2,,
S Gopal,2,,
GH Vihari,2,,
S Nadeem,2,,
A Nortje,2,,
AJ Tye,2,,
P Kumar,2,,
MA Agarwal,2,,
M Morkel,2,,
M Muralitharan,2,,
SM Katich,1,,
SA Asnodkar,1,,
TM Dilshan,1,,
Mujeeb Ur Rahman,1,,
Shivam Mavi,1,,
Mustafizur Rahman,1,,
JC Archer,1,,
AD Mathews,1,,
WPUJC Vaas,1,,
A Singh,1,,
SB Wagh,1,,
EJG Morgan,1,,
MA Starc,1,,
K Rabada,1,,
SP Goswami,1,,
NV Ojha,1,,
SW Billings,1,,
A Zampa,1,,
Mohammed Shami,1,,
AA Jhunjhunwala,1,,
Z Khan,1,,
P Parameswaran,1,,
BA Bhatt,1,,
AC Voges,1,,
AP Tare,1,,
GD McGrath,1,,
Imran Tahir,1,,
PD Collingwood,1,,
J Botha,1,,
PJ Cummins,1,,
SO Hetmyer,1,,
PK Garg,1,,
DJG Sammy,1,,
KK Ahmed,1,,
JD Ryder,1,,
PP Ojha,1,,
TG Southee,1,,
KK Cooper,1,,
JEC Franklin,1,,
CJ Jordan,1,,
Washington Sundar,1,,
GJ Bailey,1,,
MS Bisla,1,,
CL White,1,,
S Sreesanth,1,,
R Bhatia,1,,
M Kartik,1,,
KMA Paul,1,,
SB Jakati,1,,
R McLaren,1,,
A Chandila,1,,
KMDN Kulasekara,1,,
AD Mascarenhas,1,,
R Tewatia,1,,
Shoaib Akhtar,1,,
CR Brathwaite,1,,
DJ Hooda,1,,
CRD Fernando,1,,
BCJ Cutting,1,,
Kuldeep Yadav,1,,
SM Curran,1,,
KV Sharma,1,,
MD Mishra,1,,
HF Gurney,1,,
J Theron,1,,
RE Levi,1,,
MF Maharoof,1,,
L Ngidi,1,,
MJ Lumb,1,,
RJ Harris,1,,
DL Chahar,1,,
RP Singh,1,,
DL Vettori,1,,
HH Gibbs,1,,
JDP Oram,1,,
RS Bopara,1,,
TL Suman,1,,
LJ Wright,1,,
Umar Gul,1,,
S Anirudha,1,,
MN Samuels,1,,
S Aravind,1,,
DP Nannes,1,,
S Badrinath,1,,
AS Joseph,1,,
CV Varun,1,,
MR Marsh,1,,
LR Shukla,1,,
JJ Roy,1,,
B Stanlake,1,,
MS Gony,1,,
S Sohal,1,,
Grand Total,816,,
